host,endpoint,confidence,auth,oauth_confirmed,http_status,server_name,server_version,protocol_version,capabilities,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,scopes,issuer,prm_url,www_authenticate,doc_source_page,doc_title,doc_evidence
developer.slack.com,https://developer.slack.com/mcp,A_verified_mcp,bearer_token,False,401,,,,,,,,False,,,,"Bearer resource_metadata=""https://developer.slack.com/.well-known/oauth-protected-resource""",,,
developers.databricks.com,https://developers.databricks.com/api/mcp,A_verified_mcp,none_public,False,200,devhub-docs,1.0.0,2025-06-18,tools,,,,False,,,,,,,
developers.slack.com,https://developers.slack.com/mcp,A_verified_mcp,bearer_token,False,401,,,,,,,,False,,,,"Bearer resource_metadata=""https://developers.slack.com/.well-known/oauth-protected-resource""",,,
developers.tally.so,https://developers.tally.so/mcp,A_verified_mcp,none_public,False,200,Tally Developer Docs,1.0.0,2025-06-18,"resources,tools",,,,False,,,,,,,
developers.webflow.com,https://developers.webflow.com/mcp,A_verified_mcp,none_public,False,200,fern-docs-mcp-server,1.0.0,2025-06-18,tools,,,,False,,,,,,,
www.pinecone.io,https://www.pinecone.io/mcp/,A_verified_mcp,none_public,False,200,pinecone-marketing,1.0.0,2025-06-18,tools,,,,False,,,,,,,
www.slack.com,https://www.slack.com/mcp,A_verified_mcp,bearer_token,False,401,,,,,,,,False,,,,"Bearer resource_metadata=""https://www.slack.com/.well-known/oauth-protected-resource""",,,
api.imgix.com,https://api.imgix.com/mcp,B_probable_mcp,unknown,False,400,,,,,,,,False,,,,,,,
api.split.io,https://api.split.io/mcp,B_probable_mcp,unknown,False,405,,,,,,,,False,,,,,,,
app.freshdesk.com,https://app.freshdesk.com/mcp,B_probable_mcp,bearer_token,False,401,,,,,,,,False,,,,"Bearer resource_metadata=""https://app.freshdesk.com/.well-known/oauth-protected-resource/mcp""",,,
bitwarden.com,https://bitwarden.com/mcp,B_probable_mcp,unknown,False,405,,,,,,,,False,,,,,,,
developers.pipedrive.com,https://developers.pipedrive.com/mcp,B_probable_mcp,unknown,False,405,,,,,,,,False,,,,,,,
mcp.akamai.com,https://mcp.akamai.com/mcp/,B_probable_mcp,bearer_token,False,401,,,,,,,,False,,,,"Bearer error=""invalid_request"", error_description=""Authentication token is required.""",,,
