host,endpoint,server_name,authorization_endpoint,issuer,prm_url,auth,oauth_confirmed,remove_reason
quicketail.com,https://quicketail.com/api/mcp,storefront-renderer,https://shopify.com/authentication/90530283798/oauth/authorize,https://shopify.com/authentication/90530283798,https://quicketail.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quiksilver.com,https://quiksilver.com/api/mcp,storefront-renderer,https://account.quiksilver.com/authentication/oauth/authorize,https://shopify.com/authentication/68768563337,https://quiksilver.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quiltbeginnings.com,https://quiltbeginnings.com/api/mcp,storefront-renderer,https://shopify.com/authentication/29005971516/oauth/authorize,https://shopify.com/authentication/29005971516,https://quiltbeginnings.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quiltedmemoriesmi.com,https://quiltedmemoriesmi.com/api/mcp,storefront-renderer,https://shopify.com/authentication/26795278527/oauth/authorize,https://shopify.com/authentication/26795278527,https://quiltedmemoriesmi.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
quintessencefrance.com,https://quintessencefrance.com/api/mcp,storefront-renderer,https://account.quintessencefrance.com/authentication/oauth/authorize,https://shopify.com/authentication/11391800,https://quintessencefrance.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
qvr.com,https://qvr.com/api/mcp,storefront-renderer,https://shopify.com/authentication/5373722670/oauth/authorize,https://shopify.com/authentication/5373722670,https://qvr.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
racetools.fr,https://racetools.fr/api/mcp,storefront-renderer,https://shopify.com/authentication/83356188966/oauth/authorize,https://shopify.com/authentication/83356188966,https://racetools.fr/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rachaelray.com,https://rachaelray.com/api/mcp,storefront-renderer,https://shopify.com/authentication/50439848118/oauth/authorize,https://shopify.com/authentication/50439848118,https://rachaelray.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
radley.co.uk,https://radley.co.uk/api/mcp,storefront-renderer,https://account.radley.co.uk/authentication/oauth/authorize,https://shopify.com/authentication/82078335299,https://radley.co.uk/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
radpowerbikes.com,https://radpowerbikes.com/api/mcp,storefront-renderer,https://account.radpowerbikes.com/authentication/oauth/authorize,https://shopify.com/authentication/7999645,https://radpowerbikes.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
ragesa.co.za,https://ragesa.co.za/api/mcp,storefront-renderer,https://shopify.com/authentication/48088678558/oauth/authorize,https://shopify.com/authentication/48088678558,https://ragesa.co.za/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
ragno.com,https://ragno.com/api/mcp,storefront-renderer,https://account.ragno.com/authentication/oauth/authorize,https://shopify.com/authentication/52630290614,https://ragno.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rails.com,https://rails.com/api/mcp,storefront-renderer,https://accounts.rails.com/authentication/oauth/authorize,https://shopify.com/authentication/1671180,https://rails.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
railsofsheffield.com,https://railsofsheffield.com/api/mcp,storefront-renderer,https://account.railsofsheffield.com/authentication/oauth/authorize,https://shopify.com/authentication/22528589896,https://railsofsheffield.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rainbowshops.com,https://rainbowshops.com/api/mcp,storefront-renderer,https://account.rainbowshops.com/authentication/oauth/authorize,https://shopify.com/authentication/26808549559,https://rainbowshops.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
raindoor.cl,https://raindoor.cl/api/mcp,storefront-renderer,https://shopify.com/authentication/16807523/oauth/authorize,https://shopify.com/authentication/16807523,https://raindoor.cl/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rains.com,https://rains.com/api/mcp,storefront-renderer,https://shopify.com/authentication/2508090/oauth/authorize,https://shopify.com/authentication/2508090,https://rains.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
raintreenursery.com,https://raintreenursery.com/api/mcp,storefront-renderer,https://shopify.com/authentication/24949948471/oauth/authorize,https://shopify.com/authentication/24949948471,https://raintreenursery.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
raisacreationz.com,https://raisacreationz.com/api/mcp,storefront-renderer,https://shopify.com/authentication/72528986298/oauth/authorize,https://shopify.com/authentication/72528986298,https://raisacreationz.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rajasahib.com,https://rajasahib.com/api/mcp,storefront-renderer,https://account.rajasahib.com/authentication/oauth/authorize,https://shopify.com/authentication/50979799193,https://rajasahib.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
ralakde.com,https://ralakde.com/api/mcp,storefront-renderer,https://shopify.com/authentication/62415372510/oauth/authorize,https://shopify.com/authentication/62415372510,https://ralakde.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rambosfurniture.com,https://rambosfurniture.com/api/mcp,storefront-renderer,https://shopify.com/authentication/55966662855/oauth/authorize,https://shopify.com/authentication/55966662855,https://rambosfurniture.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rammount.com,https://rammount.com/api/mcp,storefront-renderer,https://shopify.com/authentication/59353464982/oauth/authorize,https://shopify.com/authentication/59353464982,https://rammount.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
ramrajcotton.in,https://ramrajcotton.in/api/mcp,storefront-renderer,https://shopify.com/authentication/9407168559/oauth/authorize,https://shopify.com/authentication/9407168559,https://ramrajcotton.in/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
ramseyoutdoor.com,https://ramseyoutdoor.com/api/mcp,storefront-renderer,https://account.ramseyoutdoor.com/authentication/oauth/authorize,https://shopify.com/authentication/85982839095,https://ramseyoutdoor.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
ramyanagendra.com,https://ramyanagendra.com/api/mcp,storefront-renderer,https://account.ramyanagendra.com/authentication/oauth/authorize,https://shopify.com/authentication/70190301416,https://ramyanagendra.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
randolphusa.com,https://randolphusa.com/api/mcp,storefront-renderer,https://shopify.com/authentication/30452646028/oauth/authorize,https://shopify.com/authentication/30452646028,https://randolphusa.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rangekleen.com,https://rangekleen.com/api/mcp,storefront-renderer,https://shopify.com/authentication/59629764652/oauth/authorize,https://shopify.com/authentication/59629764652,https://rangekleen.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rani.com.tr,https://rani.com.tr/api/mcp,storefront-renderer,https://shopify.com/authentication/4847370274/oauth/authorize,https://shopify.com/authentication/4847370274,https://rani.com.tr/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rarebeauty.com,https://rarebeauty.com/api/mcp,storefront-renderer,https://shopify.com/authentication/31411437703/oauth/authorize,https://shopify.com/authentication/31411437703,https://rarebeauty.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rareism.com,https://rareism.com/api/mcp,storefront-renderer,https://shopify.com/authentication/55190159499/oauth/authorize,https://shopify.com/authentication/55190159499,https://rareism.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rarevinyl.com,https://rarevinyl.com/api/mcp,storefront-renderer,https://account.rarevinyl.com/authentication/oauth/authorize,https://shopify.com/authentication/56651055295,https://rarevinyl.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rarewaves.com,https://rarewaves.com/api/mcp,storefront-renderer,https://account.rarewaves.com/authentication/oauth/authorize,https://shopify.com/authentication/9275048033,https://rarewaves.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rasa-ayurveda.com,https://rasa-ayurveda.com/api/mcp,storefront-renderer,https://shopify.com/authentication/8163328057/oauth/authorize,https://shopify.com/authentication/8163328057,https://rasa-ayurveda.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rashyam.in,https://rashyam.in/api/mcp,storefront-renderer,https://shopify.com/authentication/70386843950/oauth/authorize,https://shopify.com/authentication/70386843950,https://rashyam.in/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rasik.style,https://rasik.style/api/mcp,storefront-renderer,https://shopify.com/authentication/28217999459/oauth/authorize,https://shopify.com/authentication/28217999459,https://rasik.style/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rattanshack.com,https://rattanshack.com/api/mcp,storefront-renderer,https://shopify.com/authentication/60515516531/oauth/authorize,https://shopify.com/authentication/60515516531,https://rattanshack.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rattonpantry.co.uk,https://rattonpantry.co.uk/api/mcp,storefront-renderer,https://shopify.com/authentication/44578144409/oauth/authorize,https://shopify.com/authentication/44578144409,https://rattonpantry.co.uk/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rauantiques.com,https://rauantiques.com/api/mcp,storefront-renderer,https://shopify.com/authentication/8324710466/oauth/authorize,https://shopify.com/authentication/8324710466,https://rauantiques.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
raven.com,https://raven.com/api/mcp,storefront-renderer,https://shopify.com/authentication/23692869696/oauth/authorize,https://shopify.com/authentication/23692869696,https://raven.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rayconglobal.com,https://rayconglobal.com/api/mcp,storefront-renderer,https://account.rayconglobal.com/authentication/oauth/authorize,https://shopify.com/authentication/24040041,https://rayconglobal.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
raymond-weil.com,https://raymond-weil.com/api/mcp,storefront-renderer,https://shopify.com/authentication/95481168213/oauth/authorize,https://shopify.com/authentication/95481168213,https://raymond-weil.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
razagems.com,https://razagems.com/api/mcp,storefront-renderer,https://shopify.com/authentication/81188815137/oauth/authorize,https://shopify.com/authentication/81188815137,https://razagems.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rcdrone.top,https://rcdrone.top/api/mcp,storefront-renderer,https://shopify.com/authentication/64332103904/oauth/authorize,https://shopify.com/authentication/64332103904,https://rcdrone.top/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
rdserviceonline.com,https://rdserviceonline.com/api/mcp,storefront-renderer,https://shopify.com/authentication/23635731/oauth/authorize,https://shopify.com/authentication/23635731,https://rdserviceonline.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
realwatersports.com,https://realwatersports.com/api/mcp,storefront-renderer,https://shopify.com/authentication/20625873/oauth/authorize,https://shopify.com/authentication/20625873,https://realwatersports.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
